Ramasubramanian V,articulatory modeling
Ramasubramanian V,machine learning for ASR
Ramasubramanian V,deep-learning for ASR
Ramasubramanian V,semi-supervised learning
Ramasubramanian V,unsupervised learning
Ramasubramanian V,transfer learning
Ramasubramanian V,cross-lingual learning
Ramasubramanian V,multi-lingual learning.
Sachit Rao,Robotics
Sachit Rao,Control Systems
Sachit Rao,Image Processing
Sachit Rao,Embedded Systems
Sachit Rao,Machine Learning
Sachit Rao,Artificial intelligence
Shiva Kumar Malapaka,MHD Turbulence
Shiva Kumar Malapaka,Computational Fluid Dynamics
Shiva Kumar Malapaka,Direct Numerical Simulations
Shiva Kumar Malapaka,Hydrodynamical Turbulence
Shiva Kumar Malapaka,Statistical Analysis of DNS data
Shrisha Rao,agent-based modeling
Shrisha Rao,artificial intelligence
Shrisha Rao,cloud computing
Shrisha Rao,computational epidemiology
Shrisha Rao,computational sustainability
Shrisha Rao,distributed computing
Shrisha Rao,energy efficiency
Shrisha Rao,intelligent transportation systems
Shrisha Rao,renewable energy
Srinath Srinavasa,Text mining
Srinath Srinavasa,Natural language Processing
Srinath Srinavasa,Natural Language Understanding
Srinath Srinavasa,Semantic Web
Srinath Srinavasa,Knowledge representation
Srinath Srinavasa,Narratology
Srinath Srinavasa,Discourse Modeling
Srinivas Vivek,Cryptography
Srinivas Vivek,Computer Security
Srinivas Vivek,Secure implementations
Srinivas Vivek,Computing on encrypted data
Srinivas Vivek,Side-channel security
Srinivas Vivek,Homomorphic encryption
Srinivas Vivek,algorithmic number theory
Srinivasa Raghavan,machine learning
Srinivasa Raghavan,algorithms
Srinivasa Raghavan,optimization
Srinivasa Raghavan,deep learning
Srinivasa Raghavan,learning theory
Srinivasa Raghavan,reinforcement learning
Subajit Sen,analog circuit design
Subajit Sen,mixed-signal design
Subajit Sen,digital design
Subajit Sen,VLSI design
Subajit Sen,embedded systems
Subir Kumar roy,design for testability
Subir Kumar roy,hardware formal verification
Subir Kumar roy,model based hardware-software co-synthesis
Subir Kumar roy,hardware trojan detection
Subir Kumar roy,FPGA based hardware design
Subir Kumar roy,hardware implementaion of machine learning
Subir Kumar roy,high performance computer architecture
Sujit Kumar Chakrabarti,software engineering
Sujit Kumar Chakrabarti,formal methods
Sujit Kumar Chakrabarti,program analysis
Sujit Kumar Chakrabarti,software testing
Sujit Kumar Chakrabarti,requirement engineering
Sujit Kumar Chakrabarti,reverse engineering
Sujit Kumar Chakrabarti,software architecture
Sujit Kumar Chakrabarti,education technology
Uttam Kumar,Remote Sensing
Uttam Kumar,GIS
Uttam Kumar,Digital Image Processing
Uttam Kumar,Data Science
Uttam Kumar,Machine Learning
Varadharajan Sridhar,technology policy
Varadharajan Sridhar,technology and economics
Varadharajan Sridhar,telecommunications management
Varadharajan Sridhar,telecom policy
Varadharajan Sridhar,global software project management
Varadharajan Sridhar,ICT regulation
Varadharajan Sridhar,techno economics
Varadharajan Sridhar,start-up economics
Varadharajan Sridhar,information economics
vinod reddy,Signal processing
vinod reddy,Radar systems
vinod reddy,Biomedical ultrasound systems
vinod reddy,Adaptive array processing
vinod reddy,Beamforming
vinod reddy,Sensor analytics
Amrita Mishra,Wireless communication and applications
Amrita Mishra,Signal processing in communication systems
Amrita Mishra,Statistical signal processing
Arti Yardi,Coding theory
Arti Yardi,Error correcting codes
Arti Yardi,Information theory
Arti Yardi,coding for distributed storage systems
Arti Yardi,coding for distributed machine learning
Arti Yardi,cyclic codes
Arti Yardi,Linear block codes
Arti Yardi,spatially coupled codes
Arti Yardi,Covert communication
Meenakshi D'Souza,Formal verification
Meenakshi D'Souza,Embedded software
Meenakshi D'Souza,Software Testing
Meenakshi D'Souza,Gender diversity in technology
Prof. B. Thangaraju,DevOps
Prof. B. Thangaraju,Cloud Computing
Prof. B. Thangaraju,Embedded and Real Time Operating Systems
Prof. B. Thangaraju,Kubernetes
Prof. B. Thangaraju,Linux Power Management
Prof. B. Thangaraju,OpenStack
Prof. B. Thangaraju,Containerization
Viswanath Gopalakrishnan,Computer Vision
Viswanath Gopalakrishnan,Machine Learning
Viswanath Gopalakrishnan,Pattern Recognition
Viswanath Gopalakrishnan,Natural Language Processing
